scheme_id,scheme_name,government_level,state,ministry,department,category,description,benefits,min_age,max_age,gender,income_limit,occupation,education,social_category,disability,documents_required,application_process,application_url,official_url,source,last_verified
sch-central-csss-001,Central Sector Scheme of Scholarship for College and University Students,central,,"Department of Higher Education, Ministry of Education","Department of Higher Education, Ministry of Education",Scholarship,A Ministry of Education scholarship implemented through the National Scholarship Portal. The current detailed guideline thresholds and document checklist require a fresh authoritative guideline snapshot before production use.,Financial scholarship assistance for eligible college and university students; the current amount and course-stage schedule require verification.,,,all,,,,,,Current CSSS required-document checklist,"[{'step_number': 1, 'description': 'Open the National Scholarship Portal and complete the CSSS application when the current application cycle is available.', 'channel': 'Online', 'verification_status': 'VerificationRequired', 'source_ids': ['src-csss-nsp-portal-002']}]",,https://www.education.gov.in/implementation-central-sector-scholarship-scheme-college-and-university-students-through-national-e,LocalAuthorizedExport,2026-08-17T00:00:00Z
sch-maharashtra-obc-postmatric-002,Post Matric Scholarship to OBC Students,state,Maharashtra,"VJNT, OBC and SBC Welfare Department, Government of Maharashtra","VJNT, OBC and SBC Welfare Department, Government of Maharashtra",Scholarship,"A Maharashtra scheme administered through MahaDBT for eligible OBC students pursuing post-matric education, subject to domicile, income, attendance, course, gap, admission, and family-beneficiary conditions.","Tuition fee, examination fee, and maintenance allowance support according to the applicable course group and official schedule.",,,all,,,,,,"Caste certificate, Income certificate or income declaration, Previous examination marksheet, Gap declaration when an education gap exists, Leaving certificate, Ration card, Parent or guardian declaration regarding beneficiary children","[{'step_number': 1, 'description': 'Register or sign in on the MahaDBT applicant portal.', 'channel': 'Online', 'verification_status': 'VerificationRequired', 'source_ids': ['src-maha-dbt-portal-005']}, {'step_number': 2, 'description': 'Complete the applicant profile, select Post Matric Scholarship to OBC Students, upload the current required documents, and submit.', 'channel': 'Online', 'verification_status': 'VerificationRequired', 'source_ids': ['src-maha-obc-details-004', 'src-maha-dbt-portal-005']}]",,https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AB02E984835E89FEFDB316E301CE6A991F41C5D42B01A7D7E,LocalAuthorizedExport,2026-08-17T00:00:00Z
sch-central-pmis-003,PM Internship Scheme,central,,Ministry of Corporate Affairs through MY Bharat,Ministry of Corporate Affairs through MY Bharat,SkillDevelopment,The latest official MY Bharat implementation provides eligible youth with a structured internship experience. This record intentionally uses the 2026 MY Bharat implementation rather than older MCA-era benefit values and portal assumptions.,Monthly financial assistance during the internship period.; Structured industry exposure and practical work experience for the published internship duration.,,,all,,,,,,Current MY Bharat PM Internship document checklist,"[{'step_number': 1, 'description': 'Register or sign in on MY Bharat and complete the participant profile.', 'channel': 'Online', 'verification_status': 'Verified', 'source_ids': ['src-pmis-mybharat-overview-006']}, {'step_number': 2, 'description': 'Open the PM Internship Scheme section and apply to available internship opportunities during an announced cycle.', 'channel': 'Online', 'verification_status': 'Verified', 'source_ids': ['src-pmis-mybharat-event-007']}]",,https://mybharat.gov.in/pages/pm-internship-scheme,LocalAuthorizedExport,2026-08-17T00:00:00Z
sch-central-pmkisan-004,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),central,,Ministry of Agriculture & Farmers Welfare,Ministry of Agriculture & Farmers Welfare,Agriculture,"PM-KISAN is a Central Sector Scheme that provides financial support of Rs 6,000 per annum to landholding farmer families across India, transferred directly into their bank accounts in three equal installments of Rs 2,000 every four months.","Direct bank transfer of Rs 6,000 annually in 3 equal installments of Rs 2,000.",,,all,,,,,,"Cultivable Land Record / Khatauni, Aadhaar Card linked with Bank Account","[{'step_number': 1, 'description': 'Register online at PM-KISAN portal (pmkisan.gov.in) or visit nearest Common Service Center (CSC).', 'channel': 'Online', 'verification_status': 'Verified'}]",,https://pmkisan.gov.in/,LocalAuthorizedExport,2026-08-17T00:00:00Z
sch-central-ayushman-005,Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (PM-JAY),central,,"National Health Authority, Ministry of Health and Family Welfare","National Health Authority, Ministry of Health and Family Welfare",Health,Ayushman Bharat PM-JAY is the world's largest health insurance scheme fully financed by the government. It provides a cover of Rs 5 lakhs per family per year for secondary and tertiary care hospitalization across empanelled public and private hospitals in India.,"Cashless hospitalization coverage up to Rs 5,000,000 per family annually.",,,all,,,,,,"Aadhaar Card or E-KYC Identity, Ration Card or Ayushman Card","[{'step_number': 1, 'description': 'Check eligibility at beneficiary.nha.gov.in or visit any empanelled hospital with Ayushman Mitra.', 'channel': 'Online', 'verification_status': 'Verified'}]",,https://pmjay.gov.in/,LocalAuthorizedExport,2026-08-17T00:00:00Z
sch-maharashtra-ladkibahin-006,Mukhyamantri Majhi Ladki Bahin Yojana,state,Maharashtra,"Women and Child Development Department, Government of Maharashtra","Women and Child Development Department, Government of Maharashtra",WomenEmpowerment,"A flagship Maharashtra state government initiative aimed at financial independence, health, and nutrition for women. Eligible women receive direct monthly financial transfers of Rs 1,500.","Monthly direct financial support of Rs 1,500 transferred to Aadhaar-linked bank account.",,,all,,,,,,"Aadhaar Card, Maharashtra Domicile Certificate or 15-year old Ration Card, Income Certificate (Family income <= 2.5 Lakhs) or Yellow/Orange Ration Card","[{'step_number': 1, 'description': 'Apply online through Nari Shakti Doot App or official MahaDBT portal.', 'channel': 'Online', 'verification_status': 'Verified'}]",,https://ladkibahin.maharashtra.gov.in/,LocalAuthorizedExport,2026-08-17T00:00:00Z
sch-central-pmsvanidhi-007,PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi),central,,Ministry of Housing and Urban Affairs,Ministry of Housing and Urban Affairs,Microfinance,"PM SVANidhi is a micro-credit scheme providing street vendors with collateral-free working capital loans starting from Rs 10,000, with enhanced limits up to Rs 50,000 upon timely repayment, along with digital cashback incentives.","Collateral-free working capital loan up to Rs 50,000 with 7% interest subsidy.",,,all,,,,,,"Certificate of Vending (CoV) or Identity Card issued by Urban Local Body, Aadhaar Card","[{'step_number': 1, 'description': 'Apply online at pmsvanidhi.mohua.gov.in or through nearest CSC or lending bank branch.', 'channel': 'Online', 'verification_status': 'Verified'}]",,https://pmsvanidhi.mohua.gov.in/,LocalAuthorizedExport,2026-08-17T00:00:00Z
sch-central-sukanya-008,Sukanya Samriddhi Yojana (SSY),central,,Ministry of Finance & Department of Posts,Ministry of Finance & Department of Posts,FinancialInclusion,"Part of the Beti Bachao Beti Padhao campaign, Sukanya Samriddhi Yojana offers attractive government-guaranteed interest rates and tax benefits under Section 80C for accounts opened for girl children up to 10 years of age.",High government interest rate (approx 8.2% p.a.) compounded annually with tax exemption.,,,all,,,,,,"Girl Child Birth Certificate, Identity & Address proof of Guardian","[{'step_number': 1, 'description': 'Visit any India Post Office or authorized commercial bank branch to open SSY account.', 'channel': 'Offline', 'verification_status': 'Verified'}]",,https://www.indiapost.gov.in/Financial/Pages/Content/Post-Office-Saving-Schemes.aspx,LocalAuthorizedExport,2026-08-17T00:00:00Z
sch-central-mudra-009,Pradhan Mantri MUDRA Yojana (PMMY),central,,"Department of Financial Services, Ministry of Finance","Department of Financial Services, Ministry of Finance",Entrepreneurship,"Pradhan Mantri MUDRA Yojana provides micro-loans up to Rs 10 Lakhs under Shishu (up to 50k), Kishore (50k-5L), and Tarun (5L-10L) categories to non-farm micro/small enterprises and entrepreneurs.","Collateral-free business loan up to Rs 10,000,000 for entrepreneurship.",,,all,,,,,,"Aadhaar Card / Voter ID / PAN Card, Business Plan / Project Report","[{'step_number': 1, 'description': 'Apply online at udyamimitra.in or submit loan application to any commercial bank, MFI, or RRB branch.', 'channel': 'Online', 'verification_status': 'Verified'}]",,https://www.mudra.org.in/,LocalAuthorizedExport,2026-08-17T00:00:00Z
sch-central-apy-010,Atal Pension Yojana (APY),central,,"PFRDA, Ministry of Finance","PFRDA, Ministry of Finance",SeniorCitizen,"Atal Pension Yojana (APY) provides a guaranteed minimum monthly pension ranging from Rs 1,000 to Rs 5,000 per month after reaching 60 years of age, depending on contributions.","Guaranteed lifetime monthly pension of Rs 1,000 to Rs 5,000 after 60 years of age.",,,all,,,,,,Aadhaar Card linked to Savings Account,"[{'step_number': 1, 'description': 'Subscribe through net banking or visit your bank post office branch.', 'channel': 'Online', 'verification_status': 'Verified'}]",,https://www.npscra.nsdl.co.in/scheme-details.php,LocalAuthorizedExport,2026-08-17T00:00:00Z
sch-central-pmfby-011,Pradhan Mantri Fasal Bima Yojana (PMFBY),central,,Ministry of Agriculture & Farmers Welfare,Ministry of Agriculture & Farmers Welfare,Agriculture,"PMFBY provides financial support and insurance coverage to farmers in the event of failure of any notified crop as a result of natural calamities, pests, and diseases.",Full crop loss financial compensation directly deposited into farmer bank accounts.,,,all,,,,,,Land ownership paper or tenancy agreement,"[{'step_number': 1, 'description': 'Enroll through PMFBY portal (pmfby.gov.in), bank branch, or insurance intermediary before cutoff date.', 'channel': 'Online', 'verification_status': 'Verified'}]",,https://pmfby.gov.in/,LocalAuthorizedExport,2026-08-17T00:00:00Z
sch-central-pmay-012,Pradhan Mantri Awas Yojana (PMAY),central,,Ministry of Housing and Urban Affairs,Ministry of Housing and Urban Affairs,General,Pradhan Mantri Awas Yojana provides pucca houses with basic amenities to all eligible urban and rural homeless and EWS/LIG families across India.,Direct financial assistance of up to Rs 2.67 Lakhs as interest subsidy or construction grant.,,,all,,,,,,"Aadhaar Card of all family members, Income Proof / Self-Declaration","[{'step_number': 1, 'description': 'Apply online at pmaymis.gov.in or visit local municipal office/CSC center.', 'channel': 'Online', 'verification_status': 'Verified'}]",,https://pmaymis.gov.in/,LocalAuthorizedExport,2026-08-17T00:00:00Z
sch-central-pmkvy-013,Pradhan Mantri Kaushal Vikas Yojana (PMKVY 4.0),central,,Ministry of Skill Development and Entrepreneurship,Ministry of Skill Development and Entrepreneurship,SkillDevelopment,PMKVY 4.0 is the flagship skill training scheme enabling Indian youth to take up industry-relevant skill training that helps them in securing a better livelihood.,"Free skill training, government certification, assessment fees, and placement assistance.",,,all,,,,,,Aadhaar Card and Bank Details,"[{'step_number': 1, 'description': 'Register on Skill India Digital portal (skillindiadigital.gov.in) and choose desired training course.', 'channel': 'Online', 'verification_status': 'Verified'}]",,https://www.pmkvyofficial.org/,LocalAuthorizedExport,2026-08-17T00:00:00Z
sch-up-kanya-sumangala-014,Mukhya Mantri Kanya Sumangala Yojana,state,Uttar Pradesh,"Women and Child Development Department, Government of Uttar Pradesh","Women and Child Development Department, Government of Uttar Pradesh",WomenEmpowerment,"A Uttar Pradesh state government initiative providing conditional cash transfers totaling Rs 25,000 to girl children from birth through higher education.","Rs 25,000 total financial assistance paid in instalments from birth to graduation.",,,all,,,,,,UP Domicile Certificate,"[{'step_number': 1, 'description': 'Apply online on the official portal mksy.up.gov.in.', 'channel': 'Online', 'verification_status': 'Verified'}]",,https://mksy.up.gov.in/,LocalAuthorizedExport,2026-08-17T00:00:00Z
