"scheme_id","scheme_name","scheme_category","jurisdiction","state","official_information_url","official_application_url","source_status","rule_status","checklist_status","reviewed_by","implementation_status","notes"
"sch-central-csss-001","Central Sector Scheme of Scholarship for College and University Students","Scholarship","Central","","https://www.education.gov.in/implementation-central-sector-scholarship-scheme-college-and-university-students-through-national-e","https://scholarships.gov.in/","VerificationRequired","Validated","Drafted","schemora-phase0-research","Implemented","Current detailed thresholds and checklist require a current Ministry guideline snapshot."
"sch-maharashtra-obc-postmatric-002","Post Matric Scholarship to OBC Students","Scholarship","State","Maharashtra","https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AB02E984835E89FEFDB316E301CE6A991F41C5D42B01A7D7E","https://mahadbt.maharashtra.gov.in/Login/Login","VerificationRequired","Validated","Validated","schemora-phase0-research","Implemented","Official page content reviewed; automated snapshot and portal reachability require manual verification."
"sch-central-pmis-003","PM Internship Scheme","SkillDevelopment","Central","","https://mybharat.gov.in/pages/pm-internship-scheme","https://mybharat.gov.in/Gov/Department/pm-internship-scheme","Verified","Validated","Drafted","schemora-phase0-research","Implemented","Uses the latest verified MY Bharat 2026 implementation rather than older MCA-era values."
"planned-central-scholarship-004","verification_required","Scholarship","Central","","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 central scholarship research slot."
"planned-central-education-005","verification_required","Education","Central","","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 central education support research slot."
"planned-central-skill-006","verification_required","SkillDevelopment","Central","","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 central skill-development research slot."
"planned-central-employment-007","verification_required","Employment","Central","","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 central employment research slot."
"planned-central-entrepreneurship-008","verification_required","Entrepreneurship","Central","","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 central entrepreneurship research slot."
"planned-central-financial-009","verification_required","FinancialAssistance","Central","","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 central financial-assistance research slot."
"planned-maharashtra-scholarship-010","verification_required","Scholarship","State","Maharashtra","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Maharashtra scholarship research slot."
"planned-maharashtra-skill-011","verification_required","SkillDevelopment","State","Maharashtra","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Maharashtra skill-development research slot."
"planned-gujarat-scholarship-012","verification_required","Scholarship","State","Gujarat","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Gujarat scholarship research slot."
"planned-gujarat-entrepreneurship-013","verification_required","Entrepreneurship","State","Gujarat","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Gujarat entrepreneurship research slot."
"planned-karnataka-scholarship-014","verification_required","Scholarship","State","Karnataka","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Karnataka scholarship research slot."
"planned-karnataka-skill-015","verification_required","SkillDevelopment","State","Karnataka","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Karnataka skill-development research slot."
"planned-tamil-nadu-scholarship-016","verification_required","Scholarship","State","Tamil Nadu","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Tamil Nadu scholarship research slot."
"planned-tamil-nadu-employment-017","verification_required","Employment","State","Tamil Nadu","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Tamil Nadu employment research slot."
"planned-rajasthan-scholarship-018","verification_required","Scholarship","State","Rajasthan","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Rajasthan scholarship research slot."
"planned-rajasthan-social-019","verification_required","SocialWelfare","State","Rajasthan","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Rajasthan social-welfare research slot."
"planned-madhya-pradesh-scholarship-020","verification_required","Scholarship","State","Madhya Pradesh","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Madhya Pradesh scholarship research slot."
"planned-madhya-pradesh-skill-021","verification_required","SkillDevelopment","State","Madhya Pradesh","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Madhya Pradesh skill-development research slot."
"planned-uttar-pradesh-scholarship-022","verification_required","Scholarship","State","Uttar Pradesh","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Uttar Pradesh scholarship research slot."
"planned-uttar-pradesh-employment-023","verification_required","Employment","State","Uttar Pradesh","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Uttar Pradesh employment research slot."
"planned-delhi-scholarship-024","verification_required","Scholarship","State","Delhi","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Delhi scholarship research slot."
"planned-delhi-entrepreneurship-025","verification_required","Entrepreneurship","State","Delhi","verification_required","verification_required","PendingResearch","Pending","Pending","unassigned","PlannedResearch","Phase 0.1 Delhi entrepreneurship research slot."
